'06-18-2011 00:01:46'
0.11          9.75          1.50          1.50          1250          20.00         3.00          1             1             29.00         8.00          3025          1             297           1013 
 126.484528001688            6.55172413793103 
 92.7553197974182            4.41379310344828 
 68.0205673108611            4.48275862068965 
 49.8817489648736            2.48275862068966 
 36.579948950196             1.72413793103448 
 26.8252956836221            1.31034482758621 
 19.6718833449848            0.774193548387097 
 14.4260476716743            0.206896551724138 
 10.5791015418193            0.142857142857143 
 7.75800773567906            0.206896551724138 
 5.68920562761757            6.89655172413793E-02 
 4.1720840937628             0 
 3.05952831111111            0 
 2.24365407698385            0 
 0             0 
'06-18-2011 00:01:47'
0.28          6.60          1.00          1.00          12500         600.00        15.00         1             1             15.00         8.00          3010          1             297           1013 
 0             0 
 15.1698059706257            1.46 
 20.5875930422569            2.436 
 27.9403037912491            3.512 
 37.9189822892336            4.856 
 51.4614740266906            5.936 
 69.8405692642148            7.308 
 94.7836261475866            8.412 
 128.63491635783             9.904 
 174.575951342279            13.64 
 236.92449647406             19.924 
 321.540375967538            27.472 
 436.376208099974            34.292 
 592.224831555636            38.9 
 803.733669711777            39.456 
 1090.78136783205            35.28 
 1480.34608633009            27.656 
 2009.04104153183            18.256 
 2726.55559658048            9.988 
 3700.32531320318            4.388 
 5021.86987887011            1.364 
 6815.39457904363            0.3 
 9249.46372336278            0.06 
'06-18-2011 00:11:46'
0.11          9.75          1.50          1.50          1250          20.00         3.00          1             1             29.00         8.00          3025          1             297           1013 
 126.484528001688            5.31034482758621 
 92.7553197974182            5.31034482758621 
 68.0205673108611            4.13793103448276 
 49.8817489648736            3.17241379310345 
 36.579948950196             2 
 26.8252956836221            1.51724137931034 
 19.6718833449848            1.35483870967742 
 14.4260476716743            0.758620689655172 
 10.5791015418193            0.5 
 7.75800773567906            0.206896551724138 
 5.68920562761757            6.89655172413793E-02 
 4.1720840937628             0 
 3.05952831111111            1.24137931034483 
 2.24365407698385            1 
 0             0 
'06-18-2011 00:11:47'
0.28          6.60          1.00          1.00          12500         600.00        15.00         1             1             15.00         8.00          3010          1             297           1013 
 0             0 
 15.1698059706257            1.488 
 20.5875930422569            2.804 
 27.9403037912491            3.94 
 37.9189822892336            5.504 
 51.4614740266906            6.86 
 69.8405692642148            8.168 
 94.7836261475866            9.352 
 128.63491635783             10.532 
 174.575951342279            14.676 
 236.92449647406             21.436 
 321.540375967538            28.02 
 436.376208099974            35.392 
 592.224831555636            39.248 
 803.733669711777            39.736 
 1090.78136783205            35.908 
 1480.34608633009            27.988 
 2009.04104153183            18.472 
 2726.55559658048            10.204 
 3700.32531320318            4.5 
 5021.86987887011            1.388 
 6815.39457904363            0.332 
 9249.46372336278            0.072 
'06-18-2011 00:21:46'
0.11          9.75          1.50          1.50          1250          20.00         3.00          1             1             29.00         8.00          3025          1             297           1013 
 126.484528001688            5.93103448275862 
 92.7553197974182            5.72413793103448 
 68.0205673108611            4 
 49.8817489648736            2.96551724137931 
 36.579948950196             2.82758620689655 
 26.8252956836221            1.03448275862069 
 19.6718833449848            1.26666666666667 
 14.4260476716743            0.413793103448276 
 10.5791015418193            0.275862068965517 
 7.75800773567906            0 
 5.68920562761757            6.89655172413793E-02 
 4.1720840937628             0 
 3.05952831111111            0 
 2.24365407698385            0 
 0             0 
'06-18-2011 00:21:47'
0.28          6.60          1.00          1.00          12500         600.00        15.00         1             1             15.00         8.00          3010          1             297           1013 
 0             0 
 15.1698059706257            1.74 
 20.5875930422569            2.788 
 27.9403037912491            4.156 
 37.9189822892336            5.768 
 51.4614740266906            7.752 
 69.8405692642148            9.988 
 94.7836261475866            11.632 
 128.63491635783             13.488 
 174.575951342279            15.848 
 236.92449647406             20.908 
 321.540375967538            28.332 
 436.376208099974            35.528 
 592.224831555636            39.852 
 803.733669711777            40.4528571428571 
 1090.78136783205            35.55 
 1480.34608633009            28.952 
 2009.04104153183            18.66 
 2726.55559658048            9.976 
 3700.32531320318            4.344 
 5021.86987887011            1.524 
 6815.39457904363            0.32 
 9249.46372336278            0.088 
'06-18-2011 00:31:46'
0.11          9.75          1.50          1.50          1250          20.00         3.00          1             1             29.00         8.00          3025          1             297           1013 
 126.484528001688            5.31034482758621 
 92.7553197974182            4.82758620689655 
 68.0205673108611            3.93103448275862 
 49.8817489648736            2.96551724137931 
 36.579948950196             2.55172413793103 
 26.8252956836221            0.96551724137931 
 19.6718833449848            1.13333333333333 
 14.4260476716743            0.827586206896552 
 10.5791015418193            0.206896551724138 
 7.75800773567906            0.137931034482759 
 5.68920562761757            6.89655172413793E-02 
 4.1720840937628             0 
 3.05952831111111            0 
 2.24365407698385            0 
 0             0 
'06-18-2011 00:31:47'
0.28          6.60          1.00          1.00          12500         600.00        15.00         1             1             15.00         8.00          3010          1             297           1013 
 0             0 
 15.1698059706257            1.808 
 20.5875930422569            2.804 
 27.9403037912491            3.836 
 37.9189822892336            4.54 
 51.4614740266906            5.848 
 69.8405692642148            7.444 
 94.7836261475866            9.384 
 128.63491635783             11.852 
 174.575951342279            14.832 
 236.92449647406             21.268 
 321.540375967538            29.012 
 436.376208099974            35.86 
 592.224831555636            40.58 
 803.733669711777            39.936 
 1090.78136783205            36.96 
 1480.34608633009            28.748 
 2009.04104153183            19.376 
 2726.55559658048            10.216 
 3700.32531320318            4.432 
 5021.86987887011            1.724 
 6815.39457904363            0.356 
 9249.46372336278            0.1 
'06-18-2011 00:41:46'
0.11          9.75          1.50          1.50          1250          20.00         3.00          1             1             29.00         8.00          3025          1             297           1013 
 126.484528001688            15.1034482758621 
 92.7553197974182            11.7241379310345 
